Abstraktionsprinzip,Die Unwirksamkeit des dinglichen Geschäftes hat nicht die Unwirksamkeit des Schuldvertrages zur Folge und umgekehrt.
Analogie,"Analogie ist die Übertragung einer für einen Tatbestand vorgesehenen Regel auf einen anderen, aber rechtsähnlichen Tatbestand, der planwidrig nicht geregelt ist (Palandt Einleitung v § 1 Rn. 40)."
Anspruch,Ein Anspruch ist das Recht von einem anderen ein Tun oder Unterlassen zu verlangen (Legaldefinition § 194 I BGB).
Aufrechnung,Die Aufrechnung ist die wechselseitige Tilgung zweier sich gegenüberstehender gleichartiger Forderungen durch Verrechnung auf Grund einer einseitigen rechtsgestaltenden Erklärung (vgl. §§ 387 ff.).
Aufwendungen,"Aufwendungen sind (im Gegensatz zum Schaden) freiwillige Vermögens-opfer im Interesse eines anderen (§§ 256, 670, 683)."
Bringschuld,"Die Bringschuld bezeichnet eine Leistungsverpflichtung, die am Wohnsitz des Gläubigers zu erfüllen ist (§§ 269, 300)."
culpa in contrahendo (c.i.c.),"Das Institut der c. i. c. (§ 280 I 1 i.V.m. §§ 311 II, 241 II) ist eine Haftung, deren Rechtsfolge vor allem Schadensersatzansprüche und Rücktrittsrechte sind und die eingreift, wenn jemand vor oder bei Eingehung eines Vertrages eine vorvertragliche Aufklärungs- oder Schutzpflicht verletzt, ihn ein Verschulden trifft (§§ 276, 278) und dem anderen Teil daraus ein Schaden entstanden ist (=Verschulden beim Vertragsschluss)."
Dauerschuldverhältnis,"Das Schuldverhältnis erstreckt sich auf einen Zeitraum, während dessen ständig neue Leistungs-, Neben- und Schutzpflichten entstehen. Der Schuldner muss ständig leistungsbereit sein."
Einrede,"Eine Einrede ermöglicht es, durch rechtsgestaltende Erklärung die Geltendmachung eines Anspruchs zu verhindern (z. B. §§ 214 I, 273, 320). Die Einrede bedarf der Geltendmachung durch den Einredeberechtigten (Gegensatz: Einwendung)."
Einseitig verpflichtender Vertrag,"Nur eine Partei ist zur Leistung verpflichtet (schließt sonstige Nebenpflichten der anderen Seite nicht aus, z.B. Schutzpflichten)"
Einwendung,"Einwendungen sind Tatsachen, die ein Rechtsverhältnis in seinem Bestand betreffen, d. h. es entweder überhaupt nicht zur Entstehung gelangen lassen (rechtshindernde Einwendungen, z. B. Geschäftsunfähigkeit, Gesetzes- oder Sittenverstoß) oder es wieder vernichten (rechtsvernichtende Einwendungen, z. B. §§ 362 I, 397)."
Einziehungsermächtigung,"Eine Einziehungsermächtigung ist die Erteilung der Befugnis, ein fremdes Recht, insbesondere eine Forderung, in eigenem Namen geltend zu machen (vgl. §§ 362 II, 185 I)."
Erfüllbarkeit,"Erfüllbarkeit bezeichnet den Zeitpunkt, ab dem der Schuldner leisten darf und der Gläubiger die Leistung nicht als verfrüht zurückweisen kann, ohne in Annahmeverzug zu geraten (Gegensatz: Fälligkeit)."
Erfüllung,"Die Erfüllung ist das Bewirken der geschuldeten Leistung durch den Schuldner (vgl. aber §§ 267, 268) an den Gläubiger (vgl. aber § 362 II sowie § 328), durch welche als Rechtsfolge das Schuldverhältnis erlischt (vgl. § 362 I)."
Erfüllungsgehilfe,"Ein Erfüllungsgehilfe ist eine Person, die auf Veranlassung des Schuldners, also mit dessen Wissen und Wollen, im Pflichtenbereich des Schuldners tätig wird (vgl. § 278)."
Erfüllungsübernahme,"Die Erfüllungsübernahme ist ein Schuldversprechen des Inhalts, dass ein Dritter einem Schuldner verspricht, dessen Gläubiger zu befriedigen, ohne dass der Gläubiger gegen den Dritten ein Forderungsrecht erwerben soll (vgl. § 329)."
Erlass,"Der Erlassvertrag ist ein Rechtsgeschäft zwischen Gläubiger und Schuldner, wodurch der Gläubiger auf die Forderung verzichtet (§ 397 I). Der Erlass ist ein abstraktes Verfügungsgeschäft und hat meistens eine Schenkung als Rechtsgrund."
Ersetzungsbefugnis,"Die Ersetzungsbefugnis ist die Berechtigung des Gläubigers oder Schuldners, an Stelle der an sich geschuldeten Leistung eine andere Leistung zu verlangen oder zu erbringen und dadurch das Schuldverhältnis zum Erlöschen zu bringen."
Essentialia negotii,"Wesentliche Vertragspunkte müssen bestimmt oder bestimmbar sein: Vertragspartner, Geschäftstyp, Geschäftsgegenstand."
Ex nunc,von jetzt an
Ex tunc,„von damals an“; von Anfang an
Fahrlässigkeit,Fahrlässigkeit ist in § 276 II legaldefiniert als das Außerachtlassen der im Verkehr erforderlichen (nicht etwa: der üblichen) Sorgfalt (vgl. § 276 II).
Fälligkeit,"Eine Leistung ist fällig, wenn der Gläubiger vom Schuldner die Leistung verlangen darf (Gegensatz: Erfüllbarkeit) (vgl. § 271 I)."
Fixgeschäft,"Das Fixgeschäft ist ein Schuldverhältnis, bei dem die Leistungszeit genau bestimmt ist und nach der Vereinbarung der Parteien bzw. nach den Umständen (Vertragsauslegung) von so besonderer Bedeutung ist, dass das Geschäft mit der Einhaltung der Leistungszeiten stehen und fallen soll, wobei beim absoluten Fixgeschäft die Unmöglichkeitsregeln eingreifen, weil die Leistung überhaupt nicht mehr erbracht werden kann (z. B. Weihnachtsbäume nach Neujahr), während beim relativen Fixgeschäft dem Gläubiger ein Rücktrittsrecht zusteht (vgl. § 323 II Nr. 2)."
Forderung,"Eine Forderung ist eine schuldrechtliche Rechtsbeziehung, nach der der Gläubiger vom Schuldner eine Leistung, (Tun oder Unterlassen) (vgl. § 241 I 2) verlangen kann (= Schuldverhältnis im engeren Sinn, schuldrechtlicher Anspruch) (vgl. § 241)."
Garantie,"Unter Garantie versteht man die Übernahme einer (verschuldensunabhängigen) Haftung für den Fall, dass ein bestimmtes Ereignis eintritt und einen Schaden auslöst (vgl. §§ 241, 311 I)."
Gattungsschuld,"Eine Gattungsschuld ist Inhalt eines Schuldverhältnisses, bei dem der Leistungsgegenstand vereinbarungsgemäß nur nach generellen, eben nach Gattungsmerkmalen, bestimmt ist und nicht, wie bei der Stückschuld, individuell und bei der die Festlegung auf einen bestimmten Leistungsgegenstand gem. § 243 II erst durch Konkretisierung eintritt (vgl. §§ 243, 300)."
Gegenseitiger Vertrag,"Ein gegenseitiger Vertrag ist ein Schuldverhältnis mit wechselseitigen Verpflichtungen der Parteien, so daß jeder Teil zugleich Gläubiger und Schuldner des anderen ist und beide Parteien ihre Leistungen nur im Austausch, also jeweils um der anderen willen, versprechen (z. B. Kauf-, Miet- und Werkvertrag, usw.; allgemeine Regeln in §§ 320 ff.)."
Gesamtschuld,"Eine Gesamtschuld liegt vor, wenn eine Leistung von mehreren Personen in der Weise geschuldet wird, daß jeder von ihnen die ganze Leistung zu bewirken verpflichtet ist, der Gläubiger sie aber nur einmal fordern kann und die Verpflichtungen der Schuldner gleichstufig sind, also keiner vor den anderen zur Befriedigung des Gläubigers verpflichtet ist (vgl. § 421)."
Geschäftsgrundlage,"Zur Geschäftsgrundlage gehören die bei Abschluss des Vertrages zu Tage getretenen, dem anderen Teil erkennbar gewordenen und von ihm nicht beanstandeten Vorstellungen einer oder beider Parteien vom Vorhandensein oder dem künftigen Eintritt bestimmter Umstände, sofern der Geschäftswille der Parteien auf diesen Vorstellungen aufbaut und sie von der Vereinbarung nur absehen, eben weil sie von dem Vorhandenbleiben bzw. Eintritt als sicher ausgehen."
Gläubigerverzug,"Der Gläubigerverzug (=Annahmeverzug) ist eine Form der Leistungs-störung, die dadurch zustande kommt, daß die Erfüllung des Schuldverhältnisses verzögert wird, weil der Gläubiger die seinerseits erforderliche Mitwirkung unterlässt (§§ 293 ff.)."
Gutgläubigkeit,Keine Kenntnis oder grob fahrlässige Unkenntnis der wahren Rechtslage (§ 932 Abs. 2 BGB)
Hauptleistungspflichten,"Alle Leistungspflichten, um deren Willen der Vertrag geschlossen wurde. Sie geben dem Vertrag das wesentliche Gepräge. Nebenleistungspflichten können zu Hauptleistungspflichten werden, wenn Parteien bes. Interesse an der Erfüllung haben (z.B. Pflicht zur Kaufpreiszahlung, §433 II)"
Holschuld,"Bei der Holschuld verpflichtet sich der Schuldner zu einer Leistung, die er an seinem Wohnsitz zu erbringen hat (vgl. §§ 269, 243)."
Kündigung,"Die Kündigung ist eine einseitige Willenserklärung, die auf die Beendigung eines Dauerschuldverhältnisses (z. B. Miete, Dienstvertrag, Gesellschaft) gerichtet ist und ihre Wirkung ex nunc entfaltet (vgl. §§ 558 I, 620 II, 671, 723)."
Leistung,"Die Leistung bezeichnet den Gegenstand einer Schuldverpflichtung; sie ist entweder auf ein Tun oder ein Unterlassen gerichtet (vgl. §§ 241, 362 I)."
Leistungsgefahr,"Leistungsgefahr ist das Risiko des Schuldners, im Falle des Untergangs des zur Erfüllung vorgesehenen Gegenstandes Ersatz beschaffen und damit ggf. noch einmal leisten zu müssen (vgl. §§ 275, 243 II, 270 I)."
Leistungsort,"Der Ort, an dem der Schuldner die Leistung zu bewirken hat (vgl. § 269)."
Leistungsstörungen,"Leistungsstörungen sind alle diejenigen Hindernisse, die einer ordnungsgemäßen Erfüllung der Leistungspflicht des Schuldners im Wege stehen, sie können bestehen in: Unmöglichkeit, Schuldnerverzug, positiver Forderungsverletzung oder Gläubigerverzug (z.B. §§ 275 ff., 280 II, 286, 323 ff.)."
Leistungsverweigerungsrecht,"Hierunter versteht man das Recht des Schuldners, der zu einer Leistung verpflichtet ist, die Bewirkung dieser Leistung auf Grund bestimmter Umstände wie z. B. Verjährung (§ 214) oder das Bestehen eines Gegen-anspruchs (§§ 320, 273, 1000) zu verweigern."
Leistungszeit,"vgl. §§ 271, 193."
Mahnung,"Eine Mahnung ist die ernsthafte an den Schuldner gerichtete Aufforderung des Gläubigers, die genau bestimmte geschuldete Leistung zu erbringen (vgl. § 286 I 1)."
Nebenleistungspflichten,"Nebenleistungspflichten dienen der sachgerechten Verwendbarkeit der Hauptleistungspflichten, prägen allerdings nicht die Eigenart des Schuldverhältnisses. Sie sind eigenständig einklagbar. Insbesondere: Mitwirkungspflichten, Auskunftspflichten, Rechenschaftspflichten (z.B. Rückgabepflicht beim Mietvertrag, §546)."
Negatives Interesse (Vertrauensschaden),"Negatives Interesse ist der Schaden der dadurch entsteht, dass der Gläubiger auf die Gültigkeit eines Geschäftes vertraut hat (Palandt Vorbem v § 249 Rn. 17)."
Nichterfüllungsschaden,"Nicht erfüllungsschaden ist der Schaden des Gläubigers, der dadurch entsteht, dass der Schuldner seine Leistungspflicht nicht ordnungsgemäß erfüllt (Gegensatz: Vertrauensschaden)."
Nichtvermögensschaden,"Einbußen an immateriellen Gütern wie z. B. Wohlbefinden, Freiheit, Ehre usw. (vgl. § 253) sind Nichtvermögensschäden."
Novation,"Novation ist die Schaffung eines neuen Schuldverhältnisses durch die Parteien eines ursprünglichen Schuldverhältnisses in der Weise, dass unter Aufhebung des bestehenden Schuldverhältnisses an dessen Stelle das neue Schuldverhältnis treten soll."
Obliegenheit,"Obliegenheiten sind Pflichten gegenüber sich selbst, die bei einer Verletzung für den Gegner weder einen Erfüllungsanspruch noch einen Schadensersatzanspruch begründen, sondern deren Verletzung nur zur Folge hat, daß der Belastete einen Rechtsverlust oder rechtliche Nachteile selbst erleidet (vgl. z. B. § 254 I und II)."
Pacta sunt servanda,"wörtlich: ""Verträge sind einzuhalten"") Vertragstreue im öffentlichen und privaten Recht, wichtigster Grundsatz des privaten Vertragsrechts"
Positives Interesse (Erfüllungsschaden),"Positives Interesse ist der Schaden der dadurch entsteht, dass der Schuldner nicht ordnungsgemäß erfüllt hat (Palandt Vorbem v § 249 Rn. 16)."
Preisgefahr,"Preisgefahr bezeichnet das Risiko des Gläubigers, seine Gegenleistung erbringen zu müssen, obwohl die Leistung des Schuldners unmöglich geworden ist (vgl. §§ 326 II, 324, 446, 447, 644, 645)."
Primärpflichten,"Primärpflichten sind Pflichten, die sich ohne Hinzutreten weiterer Umstände aus dem Schuldverhältnis ergeben (z.B. Pflicht zur Abnahme der Kaufsache (§ 433 II)). Das jeweilige Schuldverhältnis ist auf Erfüllung dieser Pflichten angelegt"
Privatautonomie,"Recht des Einzelnen, seine Lebensverhältnisse im Rahmen der Rechtsordnung eigenverantwortlich zu gestalten<br/>Bspe.: Vertrags-, Vereinigungs-, Eigentums-, Testierfreiheit"
Rechtsbindungswille,"Verhalten, das sich aus der Sicht eines objektiven Beobachters als Äußerung eines auf die Herbeiführung einer bestimmten Rechtsfolge gerichteten Willens darstellt."
Rechtsgeschäft,"Ein Rechtsgeschäft besteht aus einer oder mehreren Willenserklärungen, die allein oder in Verbindung mit anderen Tatbestandsmerkmalen eine Rechtsfolge herbeiführen, weil sie gewollt ist (Palandt Überbl v § 104 Rn. 2)."
Rechtsgeschäft iSe Verkehrsgeschäftes,"Verfügungsgeschäft, bei dem Veräußerer und Erwerber aus wirtschaftlicher Sicht nicht die gleiche Person"
Schaden,"Schaden ist jeder Nachteil, den jemand durch ein bestimmtes Ereignis unfreiwillig an seinen Rechtsgütern, d. h. an seinem Vermögen (Vermögensschaden) oder an seinen immateriellen Gütern (Nichtvermögensschaden) erleidet."
Schickschuld,"Eine Leistungsverpflichtung ist Schickschuld, wenn bei ihr der Wohnsitz des Schuldners der Ort ist, an dem die Leistungshandlung vorzunehmen ist, während der Leistungserfolg am Wohnsitz des Gläubigers eintreten soll (vgl. §§ 269, 270, 447)."
Schuldnerverzug,"Schuldnerverzug ist ein Unterfall der Leistungsstörung in der Form, dass der Schuldner nach Mahnung oder Klageerhebung trotz Fälligkeit und Vollwirksamkeit (insbes. Einredefreiheit, str.) der Verpflichtung sowie Möglichkeit der Leistung diese aus einem von ihm zu vertretenden Grund nicht erbringt (vgl. §§ 286 ff.)"
Schuldverhältnis,Schuldverhältnis begründet Pflichten zwischen Personen; es begründet einen Anspruch. Der Inhaber (Berechtigter) eines Anspruchs (Gläubiger) kann vom Verpflichteten eines Anspruchs (Schuldner) ein Tun oder Unterlassen zu verlangen (§ 194 I). Die Forderung stellt dabei den Anspruch aus einem Schuldverhältnis – z.B. § 433 I 1 – dar (nicht z.B. § 985).
Sekundärpflichten,Sekundärpflichten entstehen infolge einer Leistungsstörung und können ggf. neben oder an die Stelle der Primärleistungspflicht treten (vor allem: Ansprüche aus den §§ 280 ff.)
Stellvertretendes commodum,"Hierunter versteht man einen Ersatzgegenstand (z. B. die Versicherungssumme) oder ein -anspruch (z. B. Anspruch auf die Versicherungsleistung oder gegen den Drittschädiger), den der Schuldner infolge des Umstandes, welcher ihm die Leistung unmöglich macht, erlangt und den der Gläubiger als Ausgleich für den eigentlich geschuldeten Gegenstand verlangen kann (vgl. § 285)."
Stückschuld,"Der Kaufvertrag bezieht sich auf eine bestimmte Sache, so dass nur diese Sache geleistet werden muss. (z.B. Kauf einer antiken Vase; str., ob bei Schlechterfüllung eine andere einwandfreie Sache geliefert werden muss.) Die geschuldete Sache muss nach individuellen Merkmalen konkret bestimmt sein."
Stundung,"Eine Stundung ist das Hinausschieben der Fälligkeit einer Forderung in Abweichung von § 271 I unter Bestehenbleiben ihrer Erfüllbarkeit auf Grund richterlicher Entscheidung gem. §§ 1382, 1615i, 1934d V, 2331a oder auf Grund Vereinbarung von Gläubiger und Schuldner."
Synallagma,"Das Synallagma bezeichnet die wechselseitige Abhängigkeit von Leistungen in gegenseitigen Verträgen, sog. Austauschverträgen. (vgl. §§ 320 ff.)."
Trennungsprinzip,Schuldvertrag und dingliches Geschäft sind voneinander getrennt zu betrachten.
Unmöglichkeit,"Unmöglichkeit ist eine Form der Leistungsstörung, bei der die Herbeiführung des Leistungserfolges für jedermann (objektive Unmöglichkeit) oder nur für den Schuldner (subjektive Unmöglichkeit, Unvermögen) bzw. bereits bei Entstehung des Schuldverhältnisses (anfängliche Unmöglichkeit) oder auf Grund späterer Ereignisse (nachträgliche Unmöglichkeit) ausgeschlossen ist (vgl. § 275)."
Unselbstständige Nebenpflichten (241 II),"Auch Schutzpflichten genannt, sind nicht selbstständig einklagbar. Ihre Verletzung kann Schadensersatzansprüche auslösen (§ 280 I; u.U. § 282) oder Rücktrittsrecht begründen (§ 324. Sie Verfolgen keinen eigenen Zweck, sondern dienen nur der pflichtgemäßen Vertragserfüllung. V.a. Verhaltens-, Schutz- und Begleitpflichten"
Unterlassen,"Unterlassen bezeichnet die Nichtvornahme einer bestimmten Handlung, zu deren Vornahme eine Rechtspflicht besteht (vgl. § 241 S. 2)."
Unvollkommen zweiseitiger Vertrag,"Nur einer Partei obliegt die den Vertragstyp bestimmende Leistungspflicht; die andere Partei trifft eine Leistungspflicht, die aber nicht im Gegenseitigkeitsverhältnis (Synallagma) steht (z.B. Leihe: Rückgabepflicht nach § 604 nicht synallagmatisch)"
Verfügung,"Im zivilrechtlichen Sinne ist eine Verfügung ein Rechtsgeschäft, durch das der Verfügende unmittelbar auf ein bestehendes Recht einwirkt, es also entweder auf einen Dritten überträgt oder mit einem Recht belastet oder das Recht aufhebt oder es sonst wie in seinem Inhalt ändert (BGHZ 1, 294, 304). <br/>Merkwort: „übag“ Ein Recht wird übertragen, belastet, aufgehoben oder geändert"
Vermögensschaden,"Vermögensschaden ist der nach der Differenzhypothese ermittelte Vergleich der Vermögenslage, wie sie durch das schädigende Ereignis besteht, mit der Vermögenslage, die bestünde, wenn das schädigende Ereignis nicht eingetreten wäre (Palandt Vorbem v § 249 Rn. 8)."
Verschulden,"Verschulden ist das objektiv pflichtwidrige und subjektiv vorwerfbare Verhalten einer schuldfähigen Person in der Form entweder von Vorsatz oder Fahrlässigkeit (vgl. §§ 276 ff., §§ 823 ff.)."
Vertrag mit Schutzwirkung zugunsten Dritter,"Ein Vertrag mit Schutzwirkungen zugunsten Dritter ist ein Schuldvertrag, aus dem ein Dritter Schadensersatzansprüche herleiten kann, sofern sein Schaden auf der schuldhaften Pflichtverletzung einer der Parteien beruht und folgende Voraussetzungen vorliegen: (a) Leistungsnähe des Dritten, (b) Schutzinteresse des Gläubigers im Hinblick auf den Dritten, (c) Erkennbarkeit von (a) und (b) für den Schuldner im Zeitpunkt des Vertragsschlusses und (d) keine eigenen vertraglichen Ansprüche des Dritten gegen den Gläubiger."
Vertragsschluss,"Ein Vertrag kommt durch zwei in Bezug aufeinander abgegebene und übereinstimmende Willenserklärungen, Antrag und Annahme (vgl. §§ 145, 147) zustande. <br/>Die Einigung muss die sog. essentialia negotii enthalten."
Vertretenmüssen,"Das Vertretenmüssen umfasst die Umstände, für die ein Schuldner im Rahmen des Schuldverhältnisses bei Eintritt von Nachteilen (insbes. Schäden) auf Seiten des Gläubigers einstehen muss, regelmäßig für Vorsatz und Fahrlässigkeit, u. U. auch garantiemäßig. (§ 276 I 1)."
Verwirkung,"Die Verwirkung ist eine Einwendung (also ein von Amts wegen zu berücksichtigender Umstand) gegen ein Recht (insbes. Anspruch) des Inhalts, dass auf Grund einer längeren Nichtgeltendmachung des Rechts (Zeitmoment) in dem Verpflichteten das berechtigte Vertrauen entstanden ist, das Recht werde nicht mehr geltend gemacht werden (Umstandsmoment) (Fall des § 242)."
Vorsatz,ist Wissen und Wollen des rechtswidrigen Erfolges im Bewusstsein der Rechtswidrigkeit (anders als im Strafrecht) (vgl. § 276).
Vorratsschuld,"Geschuldet sind nicht Gegenstände aus der Gesamtgattung, sondern nur aus dem Vorrat des Händlers. Sonderfall der Gattungsschuld (z.B. Kauf von 10 kg Äpfel von einem Bauern aus eigenem Anbau)"
Wahlschuld,"Die Wahlschuld ist ein Schuldverhältnis, das auf mehrere unterschiedliche Leistungen gerichtet ist, von denen aber nur eine zu erbringen ist (Gegensatz: Ersetzungsbefugnis) (vgl. §§ 262 – 265)."
Willenserklärung,"Private Willensäußerung, die auf die Herbeiführung einer Rechtsfolge (Begründung, inhaltliche Änderung oder Beendigung eines privaten Rechtsverhältnisses) gerichtet ist."
Zession,Die Zession (= Abtretung) ist die Übertragung einer Forderung von dem bisherigen Gläubiger (Zedent) auf den neuen Gläubiger (Zessionar) durch formlosen Vertrag und ohne dass es zur Wirksamkeit dieser Übertragung einer Mitteilung an den Schuldner bedarf (vgl. §§ 398 ff).
Zufall,"Ein Ereignis ist zufällig, wenn es weder vom Gläubiger noch vom Schuldner zu vertreten ist, woran also keinen der beiden ein Verschulden trifft (= Gefahr) (vgl. §§ 287, 848)."
Zug-um-Zug,"vgl. §§ 274, 322."
Zweckerreichung,"Die Zweckerreichung liegt vor, wenn der geschuldete Leistungserfolg ohne Zutun des Schuldners eintritt (z. B.: Das kranke Kind wird gesund, ehe der Arzt eintrifft) (vgl. §§ 242, 275, § 645 analog)."
Zweckfortfall,"Der Zweckfortfall bezeichnet den Wegfall des Leistungssubstrats (z. B.: Das zu unterrichtende Kind stirbt) (vgl. §§ 242, 275, § 645 analog)."
Zweckstörung,"Die Zweckstörung ist der Wegfall des Interesses des Gläubigers an der Leistung, obwohl die Leistung äußerlich noch möglich ist (z. B.: Absage eines Straßenumzugs wegen Volkstrauer, wodurch der gemietete Fensterplatz für den Mieter wertlos wird) (RF: Wegfall der Geschäftsgrundlage, d. h. Vertragsanpassung, ausnahmsweise Vertragsauflösung)."
